time,value
2025-03-08 13:31:51,102
2025-03-08 13:31:54,0
2025-03-08 13:31:56,89
2025-03-08 13:31:58,89
2025-03-08 13:32:01,0
2025-03-08 13:32:04,72
2025-03-08 13:32:06,89
2025-03-08 13:32:08,276
2025-03-08 13:32:11,276
2025-03-08 13:32:13,0
2025-03-08 13:32:16,54
2025-03-08 13:32:19,0
2025-03-08 13:32:22,72
2025-03-08 13:32:24,55
2025-03-08 13:33:00,102
2025-03-08 13:33:03,276
2025-03-08 13:33:05,276
2025-03-08 13:33:07,276
2025-03-08 13:33:10,270
